hash,speed
5c0593f6caa43277ec78ef5a7536de48,2.613
5cdbeb994471422d640adcb5ee669fe3,2.009
5dd1e142709a4bb3d98333ff1b71802d,6.716
5e46f11bf94eaf42b30a269a63935b1b,29.935
5ea9f220de01bb0d91708a68a9b65f33,15.777
5eb366d5142bce4d074ffbd1bba3ae21,3.247
5fdc9bb4c3b9505545fd692d0c5bdfd6,2.174
60b0a77e5de9b6963848a7c508859853,13.694
60ca24df96ff107a436d72c285f1ab43,2.181
61041e0fb029504f98b77e806a4cc5ba,12.175
6131fd4be42a6e73a5a370d2c3ad66f7,20.545
61507256f4681919f8bbc62158496a47,4.423
62b8422ce7d139de6f2bf0b160c7596a,4.993
62c45dc66c88a916358b0f7884cabb45,50.083
639fc5bb475e1a3711f3780a55a37d0d,8.255
6446a0cea5fd0e72159c963edcfc4684,17.669
646d75fc5736696086193d135930c41f,18.634
647568b1e25c35143e8bb4ec0b099401,2.158
66ce6800ed49c843040f8c6aeb44cfb7,9.195
66ece8ef7f556ed878e18ce96178dadd,5.259
67a7ca625e8678f4bd9780baf30b53d0,5.268
68735a5830f076e35628a02836594277,6.008
68985f2ac49e4617e5f685e9e0f6af09,11.097
6943448f18954517d2205061781ead14,27.308
6980b74e8ff481ecc4f357b7b202d7b8,3.878
6a0f0fe26fb8b7dc081c86f1d216c0a3,19.22
6af1d6ada0e9fa5dd7ae97f1b87115b5,8.168
6b0195fbbf990bfaf86441b8230adbc4,11.193
6b53702864dc2831381a2c6cd0f2699c,0.597
6ba09d6e3b2e52c25faa5fdf21d21f57,1.101
6bed104b0ca5b7c531b8c73ef77a2961,7.101
6c514a7fefdcaf4a5f39c77a84c6a019,2.787
6c85527df4dab09a2deebbac57f4b5c5,3.871
6cfe5bc7790216a3b2c70929214bb335,22.849
6d6fe74465a0ca09c65d1b3e4b7c218c,12.656
6db51b51cac747441606fe2d6472bfdb,4.565
6db643d940fe4969e36db77f1f5fe8fd,7.423
6ddee4ecc49c9565a50817e7b8f89bd3,27.3
6e24f4b47ff49e976e7d92c1c4127009,2.785
6e526330a51998d5cb56bfc42f732c8e,2.233
6f343c84bb090fcf19697a8781da0041,15.481
6f4a8eca6d5091dfbfcbb3e579891c63,5.879
6fa2deec7884247e3aefb8267b55c75d,5.376
7080fc6ff5795351503fb2c9d11c0757,3.038
70a301606b679746e6e9d159c27f602d,6.886
70b5aaad3c368ae7fae6faa0ff5de64e,14.591
716db9de66d96cff2b4efaeb920266ca,3.259
717056352f002a8b87a68cb5e8a818b1,3.91
71a1e487395a83088f9dba68869a6944,0.394
71de2fafb1193d9853e5f57e425ec824,14.79
720d315cb35709e40f852c904989faef,13.949
729d3b489b37493645ce33de29de5a00,8.792
734cdcdd8015036ad049600d8c6aec12,1.407
73981098b2e636b313b9d7927e83cdee,20.846
73ed2d9c226cf447e33fe37e69cec130,16.238
740880357ff2394a3f91bccbf4666658,3.631
7439863b700763e3d722693e2546cc4e,1.757
7440662a7e362bcf4cd4384492a5742e,9.972
745f97c4f6c31f5f5025dab88d1ba2ea,10.845
7595751e5fc7436d9c08c4c7bf6333d5,-1626950000.0
75a4d674483dce6f8cdfce6e6165308f,0.385
75cbe23181dd49ae39b63025b2b1e236,11.747
768e2f19a41d7f6bfc99790db26c6c29,3.388
77443a447f51b9dc7fc3a316bac19f7c,10.228
77a1606f9476c6984f27456489b7a63f,3.049
7880b917b7f6460309db9ef1b7028a38,11.873
78c7d75c295c8893369ff6d28bb86239,2.922
79056c125e3ed3e3b487b415ac5573df,4.333
790e61b66e8d13ca4cefd322063797f8,1.917
7975c0aae8529797e90fb60f7eb3e7dd,7.042
79c18c01c77f7bd6483ac6a0192e1486,3.024
7a57b58131b3a6684a6ec416c46a032e,26.628
7ab9730e4a5188a1b9022602a4173b02,6.996
7b45e89151ad655e0d5b140dda385489,3.873
7ce11e8c2f9c873c839fab04b8d563eb,2.811
7eb05b35003ae0c55db2a9bc367dce7c,26.805
7fecbbe5e7943b0cf9e30985c2403bf0,1.508
80831bb525ec9a0b29084acb723bf743,10.141
80d7b18f1f0e1df679bcae0a80925d9f,2.339
813515639cbae3d2022bf42e4199d920,44.148
814dd57936842faa81aae0fd39e66108,8.229
818ec412bf7e95c6d039fbdac1fd9f4e,9.766
81f81919e635738187094bcae5e85bcb,6.221
82600f063baed5adf248b1f5c4316981,1.551
8289ca1047a490784a1cf1d0bd33db61,1.139
82ade2818e6e64fb855fe85f063a6e3e,3.598
82ed3d9e756bd7ed3e314d97cd307781,10.569
8552e9290354ef99832981c672761559,52.352
857e044fa07d22ebbca344124a573b5b,8.495
8593a8d505b0c73f3ca1178aa838687d,6.236
861336cbd842362e36a331c769a061a7,0.506
868112d9c00b12540dd1f181b97f907f,1.198
86a4b211fc2fa1630979ecee0046905f,0.604
86fea729205a800541646a44328e8362,5.464
87cecd347b4ddf7e0e1b8dca50574d39,2.006
87e8c83cf96844cd72bdb286d706b544,0.9
889539c66a8cbcf6b118579d1eebe618,2.844
89350c17c9be3ff431dab3bdaefd3d24,0.576
893d6802049d06c5da78e5d2f866c253,6.096
8a15593495bcc6ed7c48cad91f5252aa,1.451
8a67589689c054c344af0648df42ae51,2.548
8a68d114ef79bfcf17516a8d44fb0cb9,2.467
8a6cd8ce0626b84d52f17ffc2fb2abf6,1.196
8af2bc090b468975af68d6cc60732d2f,8.757
8be4f668c79e40d982ae8e8f5f9d1e05,2.98
8be576e6a81711e898c17c9a205f64e7,9.25
8bf0dc30fefe5c7cad6c6b7a6094f890,5.344
8cd72d6e9ed1d40222dbea7cc205494d,4.949
8d0580d77d32f0012089aa6330d64bf0,2.312
8d8786177e0f6efe23e901acfa93d918,12.665
8dc216dafbf70513807e3fa0a0509e97,2.759
8dd4fba022423db280300eee3e68d207,7.216
8e2de78a0ef2174bce55e4edf9df5c3f,13.175
8e37f6b7c11778b21a452004cbdfbfc8,1.179
8f42f06bf20d94ad058a2f07dc8e504f,16.435
8faec30487dc7d43d757ba8af9c9036b,3.152
90392992b9980eedb1d88c0485b4bfdd,20.564
91a23812a9c70f6a092b9eb36d76ada8,2.955
91f63cd14720388843231ea725363711,1.731
92797a1c937f7416df35bf3c5cc31af8,3.967
928cf4d07e384d3d58b1b5b1a7b8c960,1.607
92fbf70c98bf97829ee5591bc092f4c7,8.356
931b2cbe5e273666808927f05aa96e5d,3.216
93ff286201186e2d6aa6ab7612400584,3.171
9480b2b329aed950e5202271eacaa5cd,11.479
94a7d8feda7466bb0f0e6630c382f665,2.303
94d2ab0cc4716db31da09bb6b6cdd2c2,17.162
959aaa0a9cc0dc94f96149ba0f1c551f,10.192
95a9e4a0c76999e5a2d0af7ede7f7f90,1.258
95d1566f6275b9989e5e9c35fb73be5e,3.178
961052af481e605370fa4ff72cccba0a,7.658
968d0326ffe5978dff6f120588d03fe1,43.733
9699e803772e9ded99f3ea7877240b2e,1.599
96c2cdef62f3063f998e50a2239df1e0,9.665
96c5b490e96440bf64c03d7ee91d3f18,3.289
96cb7563c38b445c12516ffdf94deb03,1.462
970add47dcb54f8549ad2fdcc3ab7c69,6.406
972aec73c9f205e707a652887e2745cd,2.853
972e5b1892b89e69b80f7258996de639,6.159
9741a36862759e5417e524b60129c2f9,19.857
989fbb726560940edaa638f8d1ebb149,14.939
98cbbfcefdfcd57b75e8c9d1b1711fe8,2.374
9992b30eda901234127425003d7ecab2,1.359
99f1841336f6788bfc60426da95e3b9f,5.343
9a69f44962c6e78789ea29e54bd0ac6f,1.5
9ac12604d516434612edfc173d6d12c2,1.281
9b67bd5f39e115c4211db2644fa49d62,4.859
9c4371066cc1ca7f10617bfbc7c1ef89,1.602
9c5b2365298b2b0b5254ed2d096cbd42,4.79
9c7a4f658a65559068721b7e022cb238,2.683
9e0fcd283d1226b642154cf13626ebf4,3.613
9e1c0f8341b9c0eee306699825a91ea7,9.56
9f5ac5686c937cbbfadee668da674ec4,0.616
a03ccd96817a662075b3829d784a7dc9,3.83
a056315b80a73a3fa4e37f613912b0f3,6.944
a1279056d74f2f5a83694243b36a7704,1.667
a128d74270511df3ab293ea5e49c0cdb,4.24
a1379b3c063dd4ed9b2b49d482fbf233,2.37
a1616204a860671647faf21c86796af3,2.318
a19abbdff252f8fb58008b2554615572,11.745
a1af5678b450a085c624878cbb5fefca,5.043
a1b56d953feb426f5675a5c0f1245148,4.955
a1d247394d02e423e06388a83e82bc62,11.005
a26e66f0871d3b2a4b6317fdecce7ebc,3.105
a2a2042ac503e5fd54879aa809353f36,16.492
a2bff4c99a9e9839535b5900cc6434f9,1.059
a33451ac7f5cb6616580bfe9476dbd7f,8.818
a3aefa9bac9fc24e008bd0307d149ead,2.421
a3b4fa61c3e70430e48ae02744c891d9,7.58
a415c73cd67a2eab5e9327adc67394c7,3.92
a476125110a6e6c761e117c7eb5c6eca,11.67
a4c2c0f1eef06eb0c6cd268b44b24b89,1.788
a509df38f5897b3325cc073027f3c61b,11.311
a574ccd0f25472dd728b8b7ccb0d1dcb,20.661
a57bf68cf3277c2a6ec2ba44f8055e80,6.815
a5b375533fbc47678630c4a77f1bff5e,25.858
a5bdb107d2eb737464ea9aad173833b1,5.386
a5fd6b8a7fecb585d6697d4ad22317ec,3.797
a61ca81e8e89542e10c58f3f810d30bb,2.738
a6f9710ca81069ce3b59f6d85107b18a,7.165
a71cbcfdb5fc68adfb5b22928bac17da,1.124
a77cbb9b532792759cc6ba65e7514341,3.682
a794890b4e8fba532b28c9bf30ed2e5c,5.868
a975cc6f8c8856d5777d49164a79690a,8.518
a9a1443a1b2326644b4b33e64d0a5da2,3.588
a9a556108058a34083e1d00f479fb7d1,1.913
a9d81b17a9b5901fedf8d3a5b00f6985,54.337
a9daa762bd28b4f0daf649e7f80d7863,5.522
a9fb49bbc16fde5f9c138877969d7111,2.193
ab457df06028957ff9fc5b04b8b2d959,4.587
ab8e35d1e9c361ecb6c6d364bcef8600,12.513
ac4c88b536692fe0a8b566a46d168471,1.522
ac5097c457dca9fdc7dac412926824a1,2.145
ace66c4848243ee929de64f8d20fecf5,2.058
ad02c9ca249945071cd094a629a6353a,13.443
ad807fd96c3ce95d97b2f07b195dead5,1.631
ae76c142cb4549bd51686f51d391fbf2,4.181
aeda3475305640836c1b0e05ffcca460,15.524
aeecdbfc9fae30d920c240952550fd60,1.02
afdb485e0e0ead49a78ac44d53e6506f,12.219
aff8280c3950228bf704cc709632966d,1.074
b020daf9bb720bde0dc171703d520f2e,-1626950000.0
b0a652636f0af853ef9acafa7feed7b8,7.417
b0e9725a0a7bef147cc818a8bf00dd02,7.626
b1583291c627d90d6fe79fea1be7c090,16.543
b19097e0c719a228456d1123e9e96f78,4.026
b194936eb815cc039a4989be371a272a,2.184
b19ec29670beafa9f2ad297aef26c99a,4.19
b1cc99c50ffff16a1516f969eff78bde,1.879
b3744b61b356c0609570083d2091e7d6,3.15
b3f19b9ecf316d30bbf57f26b5361361,6.13
b4b1c48e03039b1367ab84da825deed1,15.898
b5b5e9694edf9b645e909614e6bb085e,2.153
b5d0b24c4fc55ab1ef559f7da769d5af,3.156
b6d0231ab2a7cd5580fb29a49a545f20,-1.0
b7095cd59335dcc5bf1c7d34674f9c1d,8.317
b784ed6bbb798236588d3e11dc8cd9f4,2.158
b7f71e35408447917ae19faed7a2d1aa,3.843
b8c2641b1958dc527bbe87d3b043bdb0,21.117
b8e8f249f0305f8872c4748cc8bb2d7e,6.3
b9b903011c2a954292866ef13bcc4f1a,16.003
ba2608579f5b6293de4a3e9b2fd0219c,1.769
bae356d7e9a44ac1817fbf3dd74e37fb,3.572
bb01ef530e795cc851aff92f8b27c352,6.343
bb0f4eac0f0cf82d9eaf1d80bc8c5baa,0.866
bb15be85eeb28f36efef495305dfb620,14.366
bb244a08a72ec530a48c9905d79a8157,8.322
bb36e13317a1aa68b6cf93f878aa63b1,18.401
bb7f70ed731cd8751c9054b04cf013bc,5.534
bbb8dc42ed13d34c561506cb0b235d02,0.818
bc2e8a2bf0c8385989c6c53b071d2e55,3.425
bc51ad6a86f667e5f792f41943a10a98,5.677
bc6ca1357934bed6ac85acdd6a03fee0,4.945
be05b761aedf1b104024ef870a829ed4,1.134
bee92b19c863ec556a52e1067cbb888c,7.213
bf4f1f4188c40120ac331445b0327c6e,8.415
bf5fd372007f9fac0c075fddcc945111,32.112
bfb40753cb79030596bc8f58000bfa3e,5.85
bfeb7534a2dce1b060a1481bb289bef5,5.842
c0c4c13c60e534624522c8806790839a,3.339
c0ce9be20a1145a0881a6bac015d6d86,3.256
c0ffef955c24d276177fe3d9a9550ead,1.868
c1aad1b39443e640f6fe472a23d4221b,4.207
c281bae6c73dee24d2eba5bfffda2d51,4.227
c2879dfa19a5c300fbc0dda07783040b,4.005
c28d8d5e8c8a3d4c478a1ab1c7dd6e7b,0.85
c2f101750ee213b17c75dbf8e21a5013,8.087
c3ba41f6c2549976b0462cb3494ef26d,28.241
c4a9934feba45810c6e1ea6d8cf86421,1.012
c4ce698142669f3dad9b778ec7ba8e61,8.549
c4dcd2c7238a86189417ee7bb0d92134,2.384
c53b90abfe8b0749f32721ec55b0e6d8,22.163
c5f49cd37bb6d5b27aaaf64350411a74,13.375
c614b884ee7db04d5361d843ecaeb15f,3.153
c65bca9ab114b9aec87024e269f1abad,4.209
c74cfbd05ccd9111a63ed53c21e0110d,35.572
c7cd805d8911e85655262a5fcd562cf2,13.964
c81b32c11ac1eeb3c662b3e551b69629,8.801
c83a6c895be22d04c3eaee4db9b4f47a,11.943
c9049b4b6aadd82b6861c48e62b8afd1,0.834
c95ae722a19ec664b5ba639610ca629e,4.229
ca73f15b2f6a5a33e0bf66e2bb6bc9c7,13.733
cb0be78dd99a56a7edf172a7b89c0873,0.579
cb14ba433adc00bde60827ec419d9b10,5.556
cb262d6515a27e7143ecebf6862656c1,13.267
cb5de176d253232930eed979fa00c167,19.656
cbaa7ec72652238684c53dbe10d0d41d,33.196
cc6df6afc0d148198059e18934c2c916,0.723
cc85457ac46eced337ad9b8865164eb7,17.414
cc915ff0307e705086e2f5a4e50d0887,9.256
ccad2e9cd3b4c35c801ad8694c6c13b5,5.469
ccdbc39a877c96c5fd3a3c72dbd96388,2.307
cdb7ac5e7a76a18a4c1009ab706b35b9,2.384
ce90c16aabff30b9c57c6767d76589c5,8.845
cea779e1739860c1e4d4830f1d0809ef,6.402
cf32a766fb1d698598f4457907f97e32,4.275
cf39822d9786e037608a188d004767ab,2.652
cfe975535981fd43b0d0aa58f4fe1f90,2.606
d01b28fdba1956242f5e627158b20f5a,3.432
d033e7746b4518da7bbce276eb56f080,6.575
d06d5956f20e77ea7cc44185e8508476,1.246
d093c51b263c391c63f6be9f8cbaa03b,11.476
d09d2d30a46836df80237646e45820e4,6.808
d10cf9458991937ebba5e830ea2cb9ad,0.999
d133710fe6f6ed534297ca582b555209,30.042
d1864979d5f4d2c9ab888bad6dd3ed96,10.237
d1de11f5de6408f53c5265e5154cd59e,4.092
d1f5e06df4e6a7a3059d8ed5abb975f8,1.129
d22da8524fda11eb82ce7318738c2fd1,2.154
d25121e410177bec0428f48e58c82f6d,4.664
d2869fa4936c5a30d94f35d0a5a548b2,17.196
d29fe932b33df75073c9b5c149d9fbf9,3.845
d3054010671f1fcc99b10daa2dc92f70,12.826
d3e705e92e3550c254ade7ca7bbe7e1d,1.002
d40635812b893e3b3549be04d845f765,30.315
d4837b15ad71be03b0e51187b82bd9f6,8.35
d4f055c276c733f6129abe4a65420b0f,14.816
d5138ae0e29aadf983578419a88949db,7.774
d66f4dfda18ee7329f498341c1b9dd2e,5.994
d719745cba6d7ce8d201d63a9fd4fd59,6.867
d7342cb37bf574ccee2808682b0b9eac,22.525
d7937802dc5461a746a380d74c1db406,17.751
d7f081df504349e4590dc74aa51a573c,0.643
d884bb461cbb468a5d38919cfc101f3d,11.428
d89c9600b5b09c250b6a5cbfc21b894c,3.029
d8d0d0f5fd2e06968fc3d5cd63967dc7,None
da3448453789fe8f515bbde9eeee994f,0.686
da7daac88dcb688361ba1f928844183f,2.258
db61921bd9a23d1111757828fe9b8525,1.762
dbbb70d43cc7ae1166097d075cf625b7,9.823
dbd6f4d26519e46ef9c720a76a35ee88,2.774
dc4d61d6f327f7527efb06bfac233a48,7.272
dc72283c609676a2fecc2e2863a74172,3.962
dc902575838171663ec57da6564fdbe3,1.096
dcddda2fdd258d162658af751f3cd7c6,10.243
dcdddfb0a2e64e581b3bec501870d5c2,5.663
dd4ae445706ee3258d6a4e6c78fb4f21,7.05
dd82c1670282194edba9f1bd1df30c28,33.016
dec698ac570ea593ee0665258abe044c,2.96
df95d5c052b6ec3c08b2bc6f0ea82eb6,3.911
dfa91cec4862916e16967a8aa93f8795,0.613
dff7bed76f176e345503c3d23bdc22e0,2.628
e00ddf2ccc730f7389245961b3410695,1.387
e054deafb831013be0cc7cf37a417f65,28.918
e15d1937660602ab836da66e544af335,7.743
e1b6ffd2f136b89c149ae13bbb8f8dfd,14.025
e1eb4e0a2edb70cc4a61b98b18a93f1f,10.137
e2248754d4f5b2e899f260cf55da0c50,8.557
e2b389de11c9f139ed45e55328d48627,2.238
e3ca06d427ee2fdbb412a85288b03c45,10.559
