hash,module,result
013ae7fc5925fb3f884bc11dc53593af,tools social,0
013ae7fc5925fb3f884bc11dc53593af,tools content count,0
013ae7fc5925fb3f884bc11dc53593af,tools content,0
013ae7fc5925fb3f884bc11dc53593af,tools caching count,0
013ae7fc5925fb3f884bc11dc53593af,tools caching,0
013ae7fc5925fb3f884bc11dc53593af,tools seo count,0
013ae7fc5925fb3f884bc11dc53593af,tools seo,0
013ae7fc5925fb3f884bc11dc53593af,tools analytics count,1
013ae7fc5925fb3f884bc11dc53593af,tools analytics,Etracker
013ae7fc5925fb3f884bc11dc53593af,check external links,55
013ae7fc5925fb3f884bc11dc53593af,check internal links,62
013ae7fc5925fb3f884bc11dc53593af,check title,1
013ae7fc5925fb3f884bc11dc53593af,check description,1
013ae7fc5925fb3f884bc11dc53593af,check viewport,1
013ae7fc5925fb3f884bc11dc53593af,check title_h1_match,1
013ae7fc5925fb3f884bc11dc53593af,check title_h1_identical,0
013ae7fc5925fb3f884bc11dc53593af,check kw_density,8.035
013ae7fc5925fb3f884bc11dc53593af,check word_count,112
013ae7fc5925fb3f884bc11dc53593af,check kw_count,9
013ae7fc5925fb3f884bc11dc53593af,check kw_in_url,1
013ae7fc5925fb3f884bc11dc53593af,check kw_in_description-og-name,0
013ae7fc5925fb3f884bc11dc53593af,check kw_in_description-og-property,1
013ae7fc5925fb3f884bc11dc53593af,check kw_in_href,7
013ae7fc5925fb3f884bc11dc53593af,check kw_in_link-text,1
013ae7fc5925fb3f884bc11dc53593af,check kw_in_source,6
013ae7fc5925fb3f884bc11dc53593af,check kw_in_meta-og,1
013ae7fc5925fb3f884bc11dc53593af,check kw_in_meta-description,1
013ae7fc5925fb3f884bc11dc53593af,check kw_in_meta-properties,0
013ae7fc5925fb3f884bc11dc53593af,check kw_in_meta-content,4
013ae7fc5925fb3f884bc11dc53593af,check kw_in_title-meta,0
013ae7fc5925fb3f884bc11dc53593af,check kw_in_title-og,0
013ae7fc5925fb3f884bc11dc53593af,check kw_in_title,1
013ae7fc5925fb3f884bc11dc53593af,check canonical,1
013f59e351133992cce1f6598aff7b60,check url_length,69
013f59e351133992cce1f6598aff7b60,robots_txt,1
013f59e351133992cce1f6598aff7b60,source top,0
013f59e351133992cce1f6598aff7b60,source shop,0
013f59e351133992cce1f6598aff7b60,source search engine,0
013f59e351133992cce1f6598aff7b60,source not optimized,0
013f59e351133992cce1f6598aff7b60,source news,0
013f59e351133992cce1f6598aff7b60,source known,0
013f59e351133992cce1f6598aff7b60,source company,0
013f59e351133992cce1f6598aff7b60,source ads,0
013f59e351133992cce1f6598aff7b60,check h1,1
013f59e351133992cce1f6598aff7b60,check nofollow,1
013f59e351133992cce1f6598aff7b60,check wordpress,0
013f59e351133992cce1f6598aff7b60,check sitemap,0
013f59e351133992cce1f6598aff7b60,check og,0
013f59e351133992cce1f6598aff7b60,micros counter,0
013f59e351133992cce1f6598aff7b60,micros,0
013f59e351133992cce1f6598aff7b60,check https,1
013f59e351133992cce1f6598aff7b60,tools ads count,0
013f59e351133992cce1f6598aff7b60,tools ads,0
013f59e351133992cce1f6598aff7b60,tools social count,0
013f59e351133992cce1f6598aff7b60,tools social,0
013f59e351133992cce1f6598aff7b60,tools content count,0
013f59e351133992cce1f6598aff7b60,tools content,0
013f59e351133992cce1f6598aff7b60,tools caching count,0
013f59e351133992cce1f6598aff7b60,tools caching,0
013f59e351133992cce1f6598aff7b60,tools seo count,0
013f59e351133992cce1f6598aff7b60,tools seo,0
013f59e351133992cce1f6598aff7b60,tools analytics count,0
013f59e351133992cce1f6598aff7b60,tools analytics,0
013f59e351133992cce1f6598aff7b60,check external links,31
013f59e351133992cce1f6598aff7b60,check internal links,77
013f59e351133992cce1f6598aff7b60,check title,1
013f59e351133992cce1f6598aff7b60,check description,0
013f59e351133992cce1f6598aff7b60,check viewport,1
013f59e351133992cce1f6598aff7b60,check title_h1_match,4
013f59e351133992cce1f6598aff7b60,check title_h1_identical,0
013f59e351133992cce1f6598aff7b60,check kw_density,5.263
013f59e351133992cce1f6598aff7b60,check word_count,76
013f59e351133992cce1f6598aff7b60,check kw_count,4
013f59e351133992cce1f6598aff7b60,check kw_in_url,1
013f59e351133992cce1f6598aff7b60,check kw_in_description-og-name,0
013f59e351133992cce1f6598aff7b60,check kw_in_description-og-property,0
013f59e351133992cce1f6598aff7b60,check kw_in_href,8
013f59e351133992cce1f6598aff7b60,check kw_in_link-text,0
013f59e351133992cce1f6598aff7b60,check kw_in_source,4
013f59e351133992cce1f6598aff7b60,check kw_in_meta-og,0
013f59e351133992cce1f6598aff7b60,check kw_in_meta-description,0
013f59e351133992cce1f6598aff7b60,check kw_in_meta-properties,0
013f59e351133992cce1f6598aff7b60,check kw_in_meta-content,0
013f59e351133992cce1f6598aff7b60,check kw_in_title-meta,0
013f59e351133992cce1f6598aff7b60,check kw_in_title-og,0
013f59e351133992cce1f6598aff7b60,check kw_in_title,1
013f59e351133992cce1f6598aff7b60,check canonical,1
01bb69fe0afad3f850aaa358323684c8,source known,1
01bb69fe0afad3f850aaa358323684c8,check url_length,114
01bb69fe0afad3f850aaa358323684c8,robots_txt,1
01bb69fe0afad3f850aaa358323684c8,source top,1
01bb69fe0afad3f850aaa358323684c8,source shop,0
01bb69fe0afad3f850aaa358323684c8,source search engine,0
01bb69fe0afad3f850aaa358323684c8,source not optimized,0
01bb69fe0afad3f850aaa358323684c8,source news,1
01bb69fe0afad3f850aaa358323684c8,source company,0
01bb69fe0afad3f850aaa358323684c8,source ads,0
01bb69fe0afad3f850aaa358323684c8,check h1,0
01bb69fe0afad3f850aaa358323684c8,check nofollow,0
01bb69fe0afad3f850aaa358323684c8,check wordpress,0
01bb69fe0afad3f850aaa358323684c8,check sitemap,0
01bb69fe0afad3f850aaa358323684c8,check og,0
01bb69fe0afad3f850aaa358323684c8,micros counter,0
01bb69fe0afad3f850aaa358323684c8,micros,0
01bb69fe0afad3f850aaa358323684c8,check https,1
01bb69fe0afad3f850aaa358323684c8,tools ads count,0
01bb69fe0afad3f850aaa358323684c8,tools ads,0
01bb69fe0afad3f850aaa358323684c8,tools social count,0
01bb69fe0afad3f850aaa358323684c8,tools social,0
01bb69fe0afad3f850aaa358323684c8,tools content count,0
01bb69fe0afad3f850aaa358323684c8,tools content,0
01bb69fe0afad3f850aaa358323684c8,tools caching count,0
01bb69fe0afad3f850aaa358323684c8,tools caching,0
01bb69fe0afad3f850aaa358323684c8,tools seo count,0
01bb69fe0afad3f850aaa358323684c8,tools seo,0
01bb69fe0afad3f850aaa358323684c8,tools analytics count,0
01bb69fe0afad3f850aaa358323684c8,tools analytics,0
01bb69fe0afad3f850aaa358323684c8,check external links,5
01bb69fe0afad3f850aaa358323684c8,check internal links,14
01bb69fe0afad3f850aaa358323684c8,check title,1
01bb69fe0afad3f850aaa358323684c8,check description,0
01bb69fe0afad3f850aaa358323684c8,check viewport,1
01bb69fe0afad3f850aaa358323684c8,check title_h1_match,0
01bb69fe0afad3f850aaa358323684c8,check title_h1_identical,0
01bb69fe0afad3f850aaa358323684c8,check kw_density,5.263
01bb69fe0afad3f850aaa358323684c8,check word_count,19
01bb69fe0afad3f850aaa358323684c8,check kw_count,1
01bb69fe0afad3f850aaa358323684c8,check kw_in_url,1
01bb69fe0afad3f850aaa358323684c8,check kw_in_description-og-name,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_description-og-property,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_href,1
01bb69fe0afad3f850aaa358323684c8,check kw_in_link-text,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_source,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_meta-og,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_meta-description,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_meta-properties,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_meta-content,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_title-meta,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_title-og,0
01bb69fe0afad3f850aaa358323684c8,check kw_in_title,0
01bb69fe0afad3f850aaa358323684c8,check canonical,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check url_length,42
01f1e398b7b7a4dac8d8ea2da66fc1f1,robots_txt,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,source top,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source shop,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source search engine,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source not optimized,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source news,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source known,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source company,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,source ads,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check h1,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check nofollow,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check wordpress,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check sitemap,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check og,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,micros counter,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,micros,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check https,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools ads count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools ads,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools social count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools social,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools content count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools content,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools caching count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools caching,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools seo count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools seo,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools analytics count,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,tools analytics,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check external links,12
01f1e398b7b7a4dac8d8ea2da66fc1f1,check internal links,358
01f1e398b7b7a4dac8d8ea2da66fc1f1,check title,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check description,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check viewport,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check title_h1_match,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check title_h1_identical,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_density,25.0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check word_count,28
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_count,7
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_url,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_description-og-name,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_description-og-property,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_href,13
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_link-text,6
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_source,55
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_meta-og,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_meta-description,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_meta-properties,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_meta-content,5
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_title-meta,0
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_title-og,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check kw_in_title,1
01f1e398b7b7a4dac8d8ea2da66fc1f1,check canonical,1
01f3ae7fc4c60769b1665a19e7d67252,check url_length,14
01f3ae7fc4c60769b1665a19e7d67252,robots_txt,1
01f3ae7fc4c60769b1665a19e7d67252,source top,1
01f3ae7fc4c60769b1665a19e7d67252,source shop,0
01f3ae7fc4c60769b1665a19e7d67252,source search engine,0
01f3ae7fc4c60769b1665a19e7d67252,source not optimized,0
01f3ae7fc4c60769b1665a19e7d67252,source news,1
01f3ae7fc4c60769b1665a19e7d67252,source known,0
01f3ae7fc4c60769b1665a19e7d67252,source company,0
01f3ae7fc4c60769b1665a19e7d67252,source ads,0
01f3ae7fc4c60769b1665a19e7d67252,check h1,1
01f3ae7fc4c60769b1665a19e7d67252,check nofollow,0
01f3ae7fc4c60769b1665a19e7d67252,check wordpress,0
01f3ae7fc4c60769b1665a19e7d67252,check sitemap,0
01f3ae7fc4c60769b1665a19e7d67252,check og,1
01f3ae7fc4c60769b1665a19e7d67252,micros counter,0
01f3ae7fc4c60769b1665a19e7d67252,micros,0
01f3ae7fc4c60769b1665a19e7d67252,check https,1
01f3ae7fc4c60769b1665a19e7d67252,tools ads count,0
01f3ae7fc4c60769b1665a19e7d67252,tools ads,0
01f3ae7fc4c60769b1665a19e7d67252,tools social count,0
01f3ae7fc4c60769b1665a19e7d67252,tools social,0
01f3ae7fc4c60769b1665a19e7d67252,tools content count,0
01f3ae7fc4c60769b1665a19e7d67252,tools content,0
01f3ae7fc4c60769b1665a19e7d67252,tools caching count,0
01f3ae7fc4c60769b1665a19e7d67252,tools caching,0
01f3ae7fc4c60769b1665a19e7d67252,tools seo count,0
01f3ae7fc4c60769b1665a19e7d67252,tools seo,0
01f3ae7fc4c60769b1665a19e7d67252,tools analytics count,1
01f3ae7fc4c60769b1665a19e7d67252,tools analytics,Google Tag Manager
01f3ae7fc4c60769b1665a19e7d67252,check external links,16
01f3ae7fc4c60769b1665a19e7d67252,check internal links,27
01f3ae7fc4c60769b1665a19e7d67252,check title,1
01f3ae7fc4c60769b1665a19e7d67252,check description,1
01f3ae7fc4c60769b1665a19e7d67252,check viewport,1
01f3ae7fc4c60769b1665a19e7d67252,check title_h1_match,0
01f3ae7fc4c60769b1665a19e7d67252,check title_h1_identical,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_density,2.898
01f3ae7fc4c60769b1665a19e7d67252,check word_count,138
01f3ae7fc4c60769b1665a19e7d67252,check kw_count,4
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_url,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_description-og-name,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_description-og-property,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_href,7
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_link-text,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_source,8
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_meta-og,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_meta-description,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_meta-properties,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_meta-content,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_title-meta,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_title-og,0
01f3ae7fc4c60769b1665a19e7d67252,check kw_in_title,0
01f3ae7fc4c60769b1665a19e7d67252,check canonical,1
02445b05a464fd9349f7e5343a61d49a,check url_length,45
02445b05a464fd9349f7e5343a61d49a,robots_txt,1
02445b05a464fd9349f7e5343a61d49a,source top,0
02445b05a464fd9349f7e5343a61d49a,source shop,0
02445b05a464fd9349f7e5343a61d49a,source search engine,0
02445b05a464fd9349f7e5343a61d49a,source not optimized,0
02445b05a464fd9349f7e5343a61d49a,source news,0
02445b05a464fd9349f7e5343a61d49a,source known,0
02445b05a464fd9349f7e5343a61d49a,source company,0
02445b05a464fd9349f7e5343a61d49a,source ads,0
02445b05a464fd9349f7e5343a61d49a,check h1,1
02445b05a464fd9349f7e5343a61d49a,check nofollow,0
02445b05a464fd9349f7e5343a61d49a,check wordpress,1
02445b05a464fd9349f7e5343a61d49a,check sitemap,0
02445b05a464fd9349f7e5343a61d49a,check og,1
02445b05a464fd9349f7e5343a61d49a,micros counter,0
02445b05a464fd9349f7e5343a61d49a,micros,0
02445b05a464fd9349f7e5343a61d49a,check https,1
02445b05a464fd9349f7e5343a61d49a,tools ads count,0
02445b05a464fd9349f7e5343a61d49a,tools ads,0
02445b05a464fd9349f7e5343a61d49a,tools social count,0
02445b05a464fd9349f7e5343a61d49a,tools social,0
02445b05a464fd9349f7e5343a61d49a,tools content count,0
02445b05a464fd9349f7e5343a61d49a,tools content,0
02445b05a464fd9349f7e5343a61d49a,tools caching count,0
02445b05a464fd9349f7e5343a61d49a,tools caching,0
02445b05a464fd9349f7e5343a61d49a,tools seo count,1
02445b05a464fd9349f7e5343a61d49a,tools seo,Yoast SEO Plugin
02445b05a464fd9349f7e5343a61d49a,tools analytics count,0
02445b05a464fd9349f7e5343a61d49a,tools analytics,0
02445b05a464fd9349f7e5343a61d49a,check external links,8
02445b05a464fd9349f7e5343a61d49a,check internal links,464
02445b05a464fd9349f7e5343a61d49a,check title,1
02445b05a464fd9349f7e5343a61d49a,check description,0
02445b05a464fd9349f7e5343a61d49a,check viewport,1
02445b05a464fd9349f7e5343a61d49a,check title_h1_match,1
02445b05a464fd9349f7e5343a61d49a,check title_h1_identical,0
02445b05a464fd9349f7e5343a61d49a,check kw_density,7.317
02445b05a464fd9349f7e5343a61d49a,check word_count,1394
02445b05a464fd9349f7e5343a61d49a,check kw_count,102
02445b05a464fd9349f7e5343a61d49a,check kw_in_url,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_description-og-name,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_description-og-property,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_href,87
02445b05a464fd9349f7e5343a61d49a,check kw_in_link-text,28
02445b05a464fd9349f7e5343a61d49a,check kw_in_source,30
02445b05a464fd9349f7e5343a61d49a,check kw_in_meta-og,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_meta-description,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_meta-properties,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_meta-content,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_title-meta,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_title-og,0
02445b05a464fd9349f7e5343a61d49a,check kw_in_title,0
02445b05a464fd9349f7e5343a61d49a,check canonical,1
02790b30c0b4a2a5853ed80b6ec8e4ce,check url_length,77
02790b30c0b4a2a5853ed80b6ec8e4ce,robots_txt,1
02790b30c0b4a2a5853ed80b6ec8e4ce,source top,1
02790b30c0b4a2a5853ed80b6ec8e4ce,source shop,0
02790b30c0b4a2a5853ed80b6ec8e4ce,source search engine,0
02790b30c0b4a2a5853ed80b6ec8e4ce,source not optimized,0
02790b30c0b4a2a5853ed80b6ec8e4ce,source news,1
